rna_chr	rna_bgn	rna_end	id	rna_strand	dna_chr	dna_start	dna_end	dna_strand	gene_name	gene_type
chr1	131913279	131913306	172452	+	chr1	132433763	132433790	-	-1	-1
chr1	131912262	131912289	50605	+	chr8	19133682	19133702	-	-1	-1
chr1	171442081	171442108	156210	+	chr17	86575713	86575739	-	-1	-1
chr1	38033743	38033770	208848	+	chr5	133140097	133140123	+	-1	-1
chr1	12805739	12805767	49245	+	chr16	64568453	64568478	-	-1	-1
chr1	134408428	134408454	74937	+	chr6	146273063	146273088	+	-1	-1
chr1	159334392	159334419	82475	+	chr1	86371631	86371658	-	-1	-1
chr1	118638774	118638801	67148	+	chr1	118894089	118894114	-	-1	-1
chr1	132024788	132024815	78080	+	chr14	57497500	57497519	+	-1	-1
chr1	74690583	74690610	173625	+	chr2	149126846	149126871	-	-1	-1
chr1	118636248	118636275	222984	+	chr1	119111107	119111133	-	-1	-1
chr1	144592294	144592321	14947	+	chr10	77730508	77730534	-	-1	-1
chr1	95350300	95350327	139680	+	chr1	6992283	6992309	+	-1	-1
chr1	82856499	82856526	72566	+	chr5	102949422	102949449	-	-1	-1
chr1	87421357	87421384	33498	+	chr11	78910390	78910416	+	-1	-1
chr1	164262486	164262513	60306	+	chrY	90742927	90742953	-	-1	-1
chr1	87375537	87375565	118828	+	chr1	87375191	87375217	-	-1	-1
chr1	153452410	153452438	149101	+	chr8	71953635	71953662	-	-1	-1
chr1	160906490	160906517	120732	+	chr1	79774564	79774590	-	-1	-1
chr1	118655806	118655833	178351	+	chr1	151728792	151728818	-	-1	-1
chr1	37063993	37064016	41773	+	chr1	36984661	36984686	-	-1	-1
chr1	43485426	43485453	20885	+	chr1	59805928	59805953	-	-1	-1
chr1	175896229	175896257	219576	+	chr15	102318673	102318699	-	-1	-1
chr1	133266639	133266666	179006	+	chr11	87423636	87423661	+	-1	-1
chr1	55217608	55217635	13435	+	chr17	22588755	22588781	+	-1	-1
chr1	138998978	138999006	30152	+	chr1	137987931	137987957	+	-1	-1
chr1	135141417	135141444	228472	+	chr1	135200953	135200979	-	-1	-1
chr1	13580004	13580028	149616	+	chr7	92059036	92059061	-	-1	-1
chr1	187814917	187814944	214323	+	chr19	22421209	22421236	-	-1	-1
chr1	139478072	139478099	104741	+	chr1	139626394	139626420	-	-1	-1
chr1	73279222	73279249	90880	+	chr1	138396832	138396858	+	-1	-1
chr1	38035700	38035727	184432	+	chr1	37910284	37910310	+	-1	-1
chr1	76698068	76698095	179405	+	chr3	59297450	59297475	-	-1	-1
chr1	127793263	127793289	70169	+	chr2	72168658	72168685	+	-1	-1
chr1	134597623	134597651	59579	+	chr6	120339385	120339411	-	-1	-1
chr1	63118023	63118050	197991	+	chr10	52034494	52034519	+	-1	-1
chr1	34228356	34228383	16714	+	chr1	12784528	12784554	-	-1	-1
chr1	5123976	5124003	106378	+	chr11	119708402	119708428	-	-1	-1
chr1	133211780	133211807	235153	+	chr7	142976044	142976069	-	-1	-1
chr1	63120792	63120819	49936	+	chr12	72254828	72254854	-	-1	-1
chr1	86260971	86260998	26466	+	chr8	126592071	126592096	-	-1	-1
chr1	118678207	118678234	87443	+	chr1	75765226	75765251	-	-1	-1
chr1	139288597	139288625	244837	+	chr2	11915181	11915207	+	-1	-1
chr1	127802514	127802541	166974	+	chr1	136031877	136031902	-	-1	-1
chr1	127977479	127977506	178414	+	chr15	47756720	47756745	-	-1	-1
chr1	133110707	133110735	212678	+	chr1	31655758	31655785	+	-1	-1
chr1	153106368	153106396	99807	+	chr2	106176571	106176597	+	-1	-1
chr1	127323013	127323040	192137	+	chr1	73450698	73450724	-	-1	-1
chr1	91119230	91119258	76914	+	chr1	133285726	133285752	-	-1	-1
chr1	134489268	134489295	71344	+	chr3	79719219	79719245	-	-1	-1
chr1	4848089	4848116	12772	+	chr1	5205239	5205265	-	-1	-1
chr1	134073910	134073934	89941	+	chr1	37104851	37104878	-	-1	-1
chr1	91164820	91164847	2447	+	chr10	75883320	75883346	+	-1	-1
chr1	160921140	160921167	92770	+	chr1	194751495	194751521	+	-1	-1
chr1	136607361	136607388	2827	+	chr1	133541088	133541114	-	-1	-1
chr1	91087245	91087271	8273	+	chr6	9937932	9937958	-	-1	-1
chr1	151755512	151755539	241642	+	chr10	79621684	79621711	-	-1	-1
chr1	63120590	63120617	24767	+	chr10	25460527	25460552	-	-1	-1
chr1	60278463	60278490	134788	+	chr9	54978722	54978748	-	-1	-1
chr1	163443421	163443459	188673	+	chr11	62204668	62204694	+	-1	-1
chr1	128234318	128234346	161147	+	chr18	18137631	18137657	+	-1	-1
chr1	146268167	146268194	235359	+	chr1	151928995	151929020	-	-1	-1
chr1	34305696	34305723	133471	+	chr2	157371034	157371060	+	-1	-1
chr1	82873598	82873625	138797	+	chr1	84152507	84152533	-	-1	-1
chr1	131142614	131142641	245332	+	chr1	177726161	177726186	-	-1	-1
chr1	43109425	43109452	244272	+	chr5	29478727	29478753	-	-1	-1
chr1	134628717	134628744	2787	+	chr14	120628265	120628291	+	-1	-1
chr1	40009693	40009720	158039	+	chr17	51747541	51747566	+	-1	-1
chr1	63755466	63755493	170108	+	chr1	63821063	63821088	+	-1	-1
chr1	62435437	62435464	111895	+	chr9	27742370	27742396	+	-1	-1
chr1	5127139	5127166	125106	+	chr6	141539792	141539823	-	-1	-1
chr1	4891839	4891866	175752	+	chr14	32493812	32493831	-	-1	-1
chr1	161380267	161380294	198038	+	chr2	135651911	135651936	-	-1	-1
chr1	118648418	118648445	145897	+	chr11	3486456	3486481	-	-1	-1
chr1	27492195	27492222	153179	+	chr2	96270552	96270578	-	-1	-1
chr1	60444899	60444927	152547	+	chrX	36619778	36619804	+	-1	-1
chr1	82864656	82864683	19870	+	chr1	80747470	80747496	-	-1	-1
chr1	134972764	134972791	20393	+	chr1	93357523	93357549	-	-1	-1
chr1	159261560	159261587	96326	+	chr1	159200225	159200251	-	-1	-1
chr1	132201656	132201683	137409	+	chr1	131642234	131642260	+	-1	-1
chr1	60180758	60180786	241498	+	chr1	65721537	65721563	+	-1	-1
chr1	178645535	178645562	214373	+	chr1	177471431	177471457	+	-1	-1
chr1	34260227	34260254	29602	+	chr18	63182129	63182155	-	-1	-1
chr1	134562438	134562465	202443	+	chr7	143281039	143281065	-	-1	-1
chr1	74687339	74687366	121519	+	chr4	121452562	121452588	+	-1	-1
chr1	128236646	128236673	210345	+	chr6	39192108	39192133	-	-1	-1
chr1	180569962	180569989	130751	+	chr12	39776554	39776579	-	-1	-1
chr1	131917131	131917158	237774	+	chr1	86742831	86742857	-	-1	-1
chr1	39945411	39945437	153049	+	chr10	103122506	103122531	-	-1	-1
chr1	60241360	60241387	88604	+	chrX	100951277	100951304	-	-1	-1
chr1	78699666	78699693	39122	+	chr8	109719226	109719251	-	-1	-1
chr1	135742849	135742877	77250	+	chr8	110935650	110935677	-	-1	-1
chr1	131931129	131931156	169624	+	chr17	32311719	32311745	+	-1	-1
chr1	29822268	29822295	139114	+	chr14	46325896	46325922	+	-1	-1
chr1	128164360	128164387	28693	+	chr1	126460364	126460389	+	-1	-1
chr1	135069623	135069651	235539	+	chr5	114371283	114371309	-	-1	-1
chr1	105382956	105382995	241173	+	chr1	43582392	43582418	+	-1	-1
chr1	15805753	15805780	130881	+	chr17	30004352	30004378	-	-1	-1
chr1	191575957	191575984	210678	+	chr1	175640761	175640787	+	-1	-1
chr1	136707086	136707113	186201	+	chr1	136142561	136142587	+	-1	-1
chr1	118607158	118607185	128726	+	chr1	118695436	118695462	-	-1	-1
chr1	66784237	66784263	187313	+	chr1	62693802	62693827	+	-1	-1
chr1	132513221	132513248	48579	+	chr1	132508114	132508139	-	-1	-1
chr1	181155721	181155748	248582	+	chr1	153111569	153111595	+	-1	-1
chr1	98881383	98881410	142889	+	chr13	23588114	23588140	-	-1	-1
chr1	116234850	116234877	102612	+	chr1	116233999	116234025	-	-1	-1
chr1	17523464	17523491	21381	+	chr4	37453508	37453538	-	-1	-1
chr1	180573649	180573677	240762	+	chr1	180206182	180206208	+	-1	-1
chr1	175769595	175769622	142133	+	chr4	43027400	43027425	+	-1	-1
chr1	136715481	136715508	62376	+	chr6	128494396	128494422	-	-1	-1
chr1	106214670	106214697	111260	+	chr1	111861989	111862015	+	-1	-1
chr1	194978933	194978959	118965	+	chr15	27869645	27869670	+	-1	-1
chr1	5151049	5151076	187697	+	chr1	187145452	187145478	+	-1	-1
chr1	39933292	39933319	209674	+	chr1	74370902	74370927	-	-1	-1
chr1	165462970	165462996	238121	+	chr9	119490483	119490508	-	-1	-1
chr1	136758928	136758955	157099	+	chr1	190711319	190711345	+	-1	-1
chr1	171349258	171349285	125930	+	chr1	171327376	171327401	-	-1	-1
chr1	90571266	90571293	222233	+	chr13	15598710	15598736	-	-1	-1
chr1	63732684	63732711	147746	+	chr1	63730456	63730482	-	-1	-1
chr1	136731242	136731269	218140	+	chr6	123268474	123268499	+	-1	-1
chr1	39990715	39990742	210484	+	chr2	4900914	4900939	-	-1	-1
chr1	185375484	185375511	53455	+	chr1	172432522	172432548	+	-1	-1
chr1	134590811	134590838	36784	+	chr1	135255506	135255531	+	-1	-1
chr1	86229161	86229188	4238	+	chr12	70405107	70405132	-	-1	-1
chr1	175901956	175901982	96745	+	chr1	164438666	164438691	-	-1	-1
chr1	118502561	118502588	3061	+	chr1	93733322	93733348	+	-1	-1
chr1	4808736	4808762	120469	+	chr16	22080826	22080852	-	-1	-1
chr1	160971740	160971766	24071	+	chr10	102540458	102540486	+	-1	-1
chr1	139783097	139783124	99044	+	chr7	125625478	125625503	-	-1	-1
chr1	175891845	175891872	153435	+	chr11	59952395	59952421	+	-1	-1
chr1	160906489	160906515	78243	+	chr1	184015717	184015742	-	-1	-1
chr1	89228537	89228560	57717	+	chr16	94313615	94313640	+	-1	-1
chr1	133132820	133132847	188194	+	chr7	101725365	101725391	+	-1	-1
chr1	180894745	180894771	212046	+	chr2	59673732	59673758	-	-1	-1
chr1	182775386	182775413	77161	+	chr10	112888218	112888244	-	-1	-1
chr1	152955654	152955680	147447	+	chr1	97845761	97845786	+	-1	-1
chr1	118686484	118686511	11699	+	chr1	118549196	118549222	-	-1	-1
chr1	125889683	125889710	38004	+	chr6	88776680	88776706	-	-1	-1
chr1	34307907	34307934	181073	+	chr6	4747175	4747201	-	-1	-1
chr1	60332133	60332159	161601	+	chr1	184933008	184933034	+	-1	-1
chr1	136522884	136522911	49255	+	chr2	170029889	170029915	-	-1	-1
chr1	63735996	63736022	164256	+	chr10	18465218	18465243	-	-1	-1
chr1	136175915	136175941	73402	+	chr1	31025864	31025890	-	-1	-1
chr1	34228366	34228392	71738	+	chr16	8935347	8935373	+	-1	-1
chr1	127804476	127804502	90488	+	chr2	132363505	132363530	+	-1	-1
chr1	151360964	151360990	117780	+	chr1	29361332	29361358	-	-1	-1
chr1	4292253	4292279	248199	+	chr1	138086795	138086822	-	-1	-1
chr1	128277061	128277088	105543	+	chr7	122198385	122198412	-	-1	-1
chr1	157076700	157076727	67906	+	chr16	33631771	33631797	+	-1	-1
chr1	75193261	75193289	245639	+	chr11	8368209	8368235	-	-1	-1
chr1	38417987	38418013	51202	+	chr11	24147735	24147754	+	-1	-1
chr1	40001570	40001597	34605	+	chr9	31107514	31107541	-	-1	-1
chr1	40001570	40001597	71251	+	chr9	70827559	70827584	+	-1	-1
chr1	34225838	34225864	226349	+	chr1	34010591	34010616	-	-1	-1
chr1	31088037	31088063	685	+	chr7	65753098	65753124	+	-1	-1
chr1	129422674	129422701	211603	+	chr10	9099736	9099761	-	-1	-1
chr1	89086566	89086592	162830	+	chr3	55030366	55030392	-	-1	-1
chr1	39943168	39943194	101811	+	chr1	40673551	40673577	-	-1	-1
chr1	131913248	131913275	221735	+	chr16	48504969	48504996	-	-1	-1
chr1	131912922	131912949	107828	+	chr3	92516888	92516914	-	-1	-1
chr1	171344996	171345023	132940	+	chr12	9333006	9333033	-	-1	-1
chr1	136427166	136427193	84897	+	chr10	11392284	11392309	+	-1	-1
chr1	130582320	130582346	161521	+	chr17	48914178	48914203	-	-1	-1
chr1	118330825	118330851	202672	+	chr9	121079364	121079389	-	-1	-1
chr1	127797050	127797076	201541	+	chr13	85307312	85307338	+	-1	-1
chr1	86504749	86504775	128841	+	chr6	29474891	29474916	-	-1	-1
chr1	38978052	38978079	218566	+	chr15	46275132	46275158	+	-1	-1
chr1	89081232	89081260	57334	+	chr1	89211700	89211726	+	-1	-1
chr1	105731277	105731303	170488	+	chr1	144926885	144926912	-	-1	-1
chr1	139128575	139128601	6196	+	chr7	44839560	44839586	+	-1	-1
chr1	87398437	87398464	227589	+	chr7	133937689	133937715	-	-1	-1
chr1	134680690	134680718	77272	+	chr19	56981742	56981768	+	-1	-1
chr1	74680495	74680522	58775	+	chr17	20437712	20437737	-	-1	-1
chr1	106392781	106392807	11412	+	chr5	99395771	99395797	-	-1	-1
chr1	149763859	149763886	232972	+	chr15	57839825	57839852	-	-1	-1
chr1	15810997	15811024	73660	+	chr1	14702396	14702421	+	-1	-1
chr1	133198152	133198179	53394	+	chr1	153360933	153360959	-	-1	-1
chr1	153425512	153425539	224827	+	chr8	9975291	9975316	+	-1	-1
chr1	131837995	131838022	249211	+	chr8	93823217	93823243	-	-1	-1
chr1	123831185	123831212	1673	+	chr3	45783648	45783674	+	-1	-1
chr1	175775939	175775966	166367	+	chr8	95822250	95822276	+	-1	-1
