rna_chr	rna_bgn	rna_end	id	rna_strand	dna_chr	dna_start	dna_end	dna_strand	gene_name	gene_type
chr1	87781293	87781320	12487	+	chr10	112215032	112215058	+	PKN2-AS1	lncRNA
chr1	63241498	63241525	74042	+	chr10	75790972	75790997	-	LINC00466	lncRNA
chr1	155179396	155179423	148472	+	chr1	154973588	154973613	-	ENSG00000273088	protein_coding
chr1	77091998	77092026	6856	+	chr2	36642286	36642312	+	PIGK	protein_coding
chr1	7385549	7385576	212410	+	chr6	97271287	97271313	+	CAMTA1-AS2	lncRNA
chr1	156600335	156600362	240570	+	chr11	6548658	6548684	-	GPATCH4	protein_coding
chr1	161037645	161037672	163085	+	chr16	9909427	9909453	-	ENSG00000270149	protein_coding
chr1	161037645	161037672	163085	+	chr16	9909427	9909453	-	TSTD1	protein_coding
chr1	82845314	82845341	177072	+	chr1	64775417	64775442	-	ENSG00000233290	lncRNA
chr1	34132398	34132425	136654	+	chr9	72323049	72323075	-	CSMD2	protein_coding
chr1	86129490	86129517	155716	+	chr5	118643659	118643685	+	COL24A1	protein_coding
chr1	161038428	161038455	142343	+	chr10	24148274	24148300	+	ENSG00000270149	protein_coding
chr1	161038428	161038455	142343	+	chr10	24148274	24148300	+	TSTD1	protein_coding
chr1	89504183	89504210	147018	+	chr13	34371077	34371102	-	ENSG00000286548	lncRNA
chr1	161038132	161038159	29586	+	chr1	10272911	10272937	-	ENSG00000270149	protein_coding
chr1	161038132	161038159	29586	+	chr1	10272911	10272937	-	TSTD1	protein_coding
chr1	161038132	161038159	205176	+	chr15	70399084	70399110	+	ENSG00000270149	protein_coding
chr1	161038132	161038159	205176	+	chr15	70399084	70399110	+	TSTD1	protein_coding
chr1	161038132	161038159	41109	+	chr12	111669517	111669542	-	ENSG00000270149	protein_coding
chr1	161038132	161038159	41109	+	chr12	111669517	111669542	-	TSTD1	protein_coding
chr1	161038132	161038159	216298	+	chr1	80659019	80659045	-	ENSG00000270149	protein_coding
chr1	161038132	161038159	216298	+	chr1	80659019	80659045	-	TSTD1	protein_coding
chr1	72852336	72852362	87395	+	chr12	86648100	86648139	-	ENSG00000225087	lncRNA
chr1	63534317	63534344	205610	+	chr12	85701780	85701806	-	ITGB3BP	protein_coding
chr1	36083493	36083520	98135	+	chr1	53567787	53567812	+	ENSG00000232862	transcribed_processed_pseudogene
chr1	89150515	89150541	190100	+	chr8	122640858	122640883	-	GBP7	protein_coding
chr1	89483474	89483501	127301	+	chr1	80495212	80495238	+	ENSG00000286548	lncRNA
chr1	72849668	72849696	59155	+	chr14	55480762	55480788	-	ENSG00000225087	lncRNA
chr1	145397748	145397775	44585	+	chr8	105985087	105985113	-	NBPF20	protein_coding
chr1	82731121	82731147	36595	+	chr5	144970637	144970663	+	ENSG00000233290	lncRNA
chr1	11037300	11037327	201931	+	chr1	11018125	11018151	+	MASP2	protein_coding
chr1	87899483	87899510	44154	+	chr2	60849091	60849117	-	PKN2-AS1	lncRNA
chr1	63177767	63177793	49581	+	chr1	170124821	170124846	+	LINC00466	lncRNA
chr1	87783359	87783387	153234	+	chr1	132603371	132603397	+	PKN2-AS1	lncRNA
chr1	71658828	71658855	162365	+	chr1	71665580	71665607	+	NEGR1	protein_coding
chr1	6234295	6234322	145717	+	chr4	87789959	87789985	+	ICMT	protein_coding
chr1	93300837	93300863	214171	+	chr8	117381765	117381790	+	CCDC18-AS1	lncRNA
chr1	71855175	71855203	247288	+	chr1	71854703	71854729	-	NEGR1	protein_coding
chr1	85820680	85820707	242063	+	chr1	37155503	37155529	-	COL24A1	protein_coding
chr1	165581690	165581720	203310	+	chr9	10471902	10471928	+	LRRC52-AS1	lncRNA
chr1	72675752	72675778	187598	+	chr11	118510860	118510886	+	ENSG00000225087	lncRNA
chr1	72226331	72226358	221642	+	chr6	6233323	6233349	+	NEGR1	protein_coding
chr1	72226331	72226358	154806	+	chr2	98970857	98970882	-	NEGR1	protein_coding
chr1	63460937	63460963	241533	+	chr1	62733887	62733913	-	ITGB3BP	protein_coding
chr1	63586594	63586621	68947	+	chr12	107798347	107798373	+	ITGB3BP	protein_coding
chr1	192561702	192561728	182207	+	chr1	192561361	192561386	-	ENSG00000285280	lncRNA
chr1	111422871	111422898	163056	+	chr13	95675366	95675391	-	OVGP1	protein_coding
chr1	63578994	63579020	246724	+	chr13	55262324	55262349	-	ITGB3BP	protein_coding
chr1	34105437	34105463	212930	+	chr6	12158632	12158659	+	CSMD2	protein_coding
chr1	93827467	93827493	51362	+	chr1	164645784	164645809	+	BCAR3	protein_coding
chr1	159085039	159085059	125587	+	chr3	6380222	6380249	+	AIM2	protein_coding
chr1	161037648	161037675	77539	+	chr15	97279880	97279908	-	ENSG00000270149	protein_coding
chr1	161037648	161037675	77539	+	chr15	97279880	97279908	-	TSTD1	protein_coding
chr1	48138769	48138796	222937	+	chr11	33309332	33309357	-	ENSG00000290466	lncRNA
chr1	63178455	63178482	153660	+	chr4	76741343	76741369	+	LINC00466	lncRNA
chr1	58397898	58397926	113232	+	chr12	27726422	27726447	-	DAB1	protein_coding
chr1	37384928	37384956	32094	+	chr1	90045136	90045161	+	ZC3H12A-DT	lncRNA
chr1	63467706	63467732	55575	+	chr4	152662710	152662735	-	ITGB3BP	protein_coding
chr1	89482783	89482810	188522	+	chr14	32946769	32946795	+	ENSG00000286548	lncRNA
chr1	192337655	192337681	141488	+	chr1	191364181	191364207	+	ENSG00000285280	lncRNA
chr1	190306066	190306092	172922	+	chr13	79989798	79989824	-	BRINP3	protein_coding
chr1	166153564	166153590	93759	+	chr1	161875268	161875294	-	FAM78B	protein_coding
chr1	166153564	166153590	93759	+	chr1	161875268	161875294	-	ENSG00000230898	lncRNA
chr1	151762926	151762953	182443	+	chr1	143522044	143522070	-	MRPL9	protein_coding
chr1	72825071	72825098	29349	+	chr1	72907733	72907758	-	ENSG00000225087	lncRNA
chr1	87681870	87681896	79226	+	chr1	90341445	90341472	+	PKN2-AS1	lncRNA
chr1	20869327	20869354	142855	+	chr11	33162172	33162197	-	EIF4G3	protein_coding
chr1	34164139	34164166	24728	+	chr1	60186138	60186163	-	CSMD2	protein_coding
chr1	52421598	52421625	219388	+	chr5	33955997	33956023	-	TUT4	protein_coding
chr1	177053674	177053701	54704	+	chr5	142972675	142972701	-	ASTN1	protein_coding
chr1	86064751	86064778	22646	+	chr1	86131182	86131208	+	COL24A1	protein_coding
chr1	85837376	85837403	39332	+	chr10	108623226	108623252	+	COL24A1	protein_coding
chr1	63451995	63452022	239270	+	chr1	125382720	125382745	+	ITGB3BP	protein_coding
chr1	55135834	55135861	206094	+	chr3	17624407	17624432	+	USP24	protein_coding
chr1	86071481	86071508	17112	+	chr1	38744141	38744166	-	COL24A1	protein_coding
chr1	93151331	93151358	77655	+	chr2	84437848	84437874	+	TMED5	protein_coding
chr1	63532408	63532435	72425	+	chr11	118775963	118775989	+	ITGB3BP	protein_coding
chr1	72832967	72832994	35047	+	chr5	114629747	114629772	-	ENSG00000225087	lncRNA
chr1	87685119	87685146	91137	+	chr1	87826320	87826345	+	PKN2-AS1	lncRNA
chr1	191078393	191078421	111733	+	chr12	76329869	76329895	+	ENSG00000285638	lncRNA
chr1	63446079	63446106	32261	+	chr10	20362972	20362998	+	ITGB3BP	protein_coding
chr1	85795912	85795939	233819	+	chr16	23953418	23953444	+	COL24A1	protein_coding
chr1	89471223	89471250	11449	+	chr16	43513683	43513709	-	ENSG00000286548	lncRNA
