rna_chr	rna_bgn	rna_end	id	rna_strand	dna_chr	dna_start	dna_end	dna_strand	gene_name	gene_type
chrM	1590	1617	2688	+	chr2	39730020	39730045	-	MT-TV	Mt_tRNA
chrM	1590	1617	142752	+	chr9	35305294	35305320	+	MT-TV	Mt_tRNA
chrM	1588	1616	70284	+	chr7	71731139	71731165	+	MT-TV	Mt_tRNA
chrM	1588	1616	194878	+	chr6	119712262	119712287	+	MT-TV	Mt_tRNA
chrM	1591	1618	16289	+	chr12	90312926	90312952	+	MT-TV	Mt_tRNA
chrM	1590	1617	22461	+	chrM	14686	14711	-	MT-TV	Mt_tRNA
chrM	1590	1617	79008	+	chr8	65862369	65862394	+	MT-TV	Mt_tRNA
chrM	562	589	177045	+	chr19	9867265	9867290	+	MT-TF	Mt_tRNA
chrM	592	619	40559	+	chr10	26408616	26408642	-	MT-TF	Mt_tRNA
chrM	592	620	247709	+	chr14	45855950	45855975	-	MT-TF	Mt_tRNA
chrM	591	618	11221	+	chr11	78436220	78436246	-	MT-TF	Mt_tRNA
chrM	596	622	12974	+	chr13	97448999	97449025	-	MT-TF	Mt_tRNA
chrM	556	583	11599	+	chr3	154316411	154316437	-	MT-TF	Mt_tRNA
chrM	595	621	57666	+	chr17	8496478	8496504	+	MT-TF	Mt_tRNA
chrM	903	930	184633	+	chr2	88441684	88441709	+	MT-RNR1	Mt_rRNA
chrM	893	920	183358	+	chrM	6146	6172	-	MT-RNR1	Mt_rRNA
chrM	1513	1540	104853	+	chr19	14323699	14323724	+	MT-RNR1	Mt_rRNA
chrM	738	760	71220	+	chr15	68341875	68341901	+	MT-RNR1	Mt_rRNA
chrM	734	761	160193	+	chr11	60383758	60383784	+	MT-RNR1	Mt_rRNA
chrM	738	766	104373	+	chr13	110828604	110828630	-	MT-RNR1	Mt_rRNA
chrM	1304	1330	225690	+	chr11	77173096	77173122	+	MT-RNR1	Mt_rRNA
chrM	1510	1537	244715	+	chr2	24361299	24361325	-	MT-RNR1	Mt_rRNA
chrM	1456	1483	37390	+	chr16	9196372	9196397	+	MT-RNR1	Mt_rRNA
chrM	814	842	110012	+	chr13	112354954	112354980	+	MT-RNR1	Mt_rRNA
chrM	990	1017	179670	+	chr18	42060443	42060469	+	MT-RNR1	Mt_rRNA
chrM	736	762	100779	+	chr6	148779793	148779819	+	MT-RNR1	Mt_rRNA
chrM	865	891	147404	+	chr2	79576544	79576570	-	MT-RNR1	Mt_rRNA
chrM	1192	1219	68386	+	chr14	124363640	124363666	+	MT-RNR1	Mt_rRNA
chrM	747	774	206856	+	chrX	156647515	156647541	-	MT-RNR1	Mt_rRNA
chrM	747	774	42540	+	chr7	81361145	81361171	-	MT-RNR1	Mt_rRNA
chrM	747	774	3202	+	chr1	167070768	167070793	-	MT-RNR1	Mt_rRNA
chrM	747	774	179906	+	chr2	92943294	92943320	-	MT-RNR1	Mt_rRNA
chrM	747	774	111148	+	chrM	13867	13892	-	MT-RNR1	Mt_rRNA
chrM	747	774	97483	+	chr3	153778205	153778231	-	MT-RNR1	Mt_rRNA
chrM	747	774	160812	+	chr3	132433247	132433273	-	MT-RNR1	Mt_rRNA
chrM	749	776	211327	+	chr9	56985535	56985561	-	MT-RNR1	Mt_rRNA
chrM	807	834	168242	+	chrM	498	524	-	MT-RNR1	Mt_rRNA
chrM	1338	1365	50362	+	chrX	12138182	12138208	+	MT-RNR1	Mt_rRNA
chrM	860	887	239667	+	chr3	8054588	8054614	-	MT-RNR1	Mt_rRNA
chrM	1430	1457	21834	+	chr13	110506704	110506730	-	MT-RNR1	Mt_rRNA
chrM	995	1022	188536	+	chr1	16989073	16989100	-	MT-RNR1	Mt_rRNA
chrM	815	842	129814	+	chr5	12148201	12148226	-	MT-RNR1	Mt_rRNA
chrM	815	842	7593	+	chr8	47118237	47118262	-	MT-RNR1	Mt_rRNA
chrM	815	842	71808	+	chr5	24105449	24105474	+	MT-RNR1	Mt_rRNA
chrM	880	907	108554	+	chrM	16084	16110	+	MT-RNR1	Mt_rRNA
chrM	1206	1233	167465	+	chr12	85945188	85945214	+	MT-RNR1	Mt_rRNA
chrM	913	940	172289	+	chr1	137177279	137177304	-	MT-RNR1	Mt_rRNA
chrM	901	928	119723	+	chr5	140642297	140642323	-	MT-RNR1	Mt_rRNA
chrM	899	926	173233	+	chr10	91057557	91057585	+	MT-RNR1	Mt_rRNA
chrM	747	773	219048	+	chr6	104748629	104748655	+	MT-RNR1	Mt_rRNA
chrM	1430	1457	1269	+	chr17	74102382	74102407	-	MT-RNR1	Mt_rRNA
chrM	1216	1242	164289	+	chr11	72073602	72073627	+	MT-RNR1	Mt_rRNA
chrM	1311	1339	141837	+	chr6	83200420	83200446	+	MT-RNR1	Mt_rRNA
chrM	747	774	115941	+	chr11	110622030	110622056	+	MT-RNR1	Mt_rRNA
chrM	747	774	228506	+	chr14	101978447	101978473	+	MT-RNR1	Mt_rRNA
chrM	747	775	108176	+	chr7	121619954	121619981	+	MT-RNR1	Mt_rRNA
chrM	751	778	46066	+	chr2	172193396	172193422	-	MT-RNR1	Mt_rRNA
chrM	950	976	198989	+	chr4	35349511	35349536	-	MT-RNR1	Mt_rRNA
chrM	691	717	198574	+	chr7	112694472	112694498	+	MT-RNR1	Mt_rRNA
chrM	1469	1496	91987	+	chr8	18536022	18536048	+	MT-RNR1	Mt_rRNA
chrM	1170	1196	120005	+	chr18	71521794	71521820	+	MT-RNR1	Mt_rRNA
chrM	990	1017	192272	+	chr15	88710970	88710995	-	MT-RNR1	Mt_rRNA
chrM	1199	1225	127379	+	chrM	4922	4948	+	MT-RNR1	Mt_rRNA
chr11	109011648	109011674	172269	-	chr4	54685961	54685987	+	ENSG00000255528	lncRNA
chr11	109011899	109011925	56028	-	chr16	13360303	13360328	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	120918	-	chr17	50747673	50747699	-	ENSG00000255528	lncRNA
chr11	109011845	109011872	203730	-	chr17	67121174	67121199	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	157550	-	chr3	71158991	71159018	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	10049	-	chr12	28376486	28376512	-	ENSG00000255528	lncRNA
chr11	109011898	109011925	169028	-	chr17	39844301	39844326	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	142276	-	chr2	20087837	20087863	-	ENSG00000255528	lncRNA
chr11	109011899	109011925	171725	-	chr2	51837728	51837755	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	67543	-	chr7	3642865	3642890	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	38816	-	chr9	40566638	40566664	-	ENSG00000255528	lncRNA
chr11	109011899	109011925	85729	-	chr16	46535763	46535788	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	57510	-	chr15	53599872	53599898	-	ENSG00000255528	lncRNA
chr11	109011899	109011925	168821	-	chr12	9875236	9875261	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	58630	-	chr13	104631916	104631941	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	37009	-	chr19	39576384	39576409	-	ENSG00000255528	lncRNA
chr11	109011968	109011994	5487	-	chr15	56039846	56039872	+	ENSG00000255528	lncRNA
chr11	109011845	109011872	194597	-	chr7	125916402	125916428	-	ENSG00000255528	lncRNA
chr11	109011692	109011713	117099	-	chr7	110568399	110568424	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	244177	-	chr14	87012485	87012510	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	55739	-	chr1	43983952	43983977	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	47846	-	chr5	110153029	110153054	-	ENSG00000255528	lncRNA
chr11	109011692	109011713	202640	-	chr1	56863426	56863448	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	143532	-	chr1	20037975	20038001	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	132194	-	chr6	102691204	102691230	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	7805	-	chr3	38671331	38671356	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	231738	-	chr16	62845569	62845594	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	183754	-	chr13	53017820	53017845	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	214137	-	chr3	45243014	45243040	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	79618	-	chr18	60835959	60835983	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	54481	-	chr2	125076284	125076310	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	239008	-	chr7	131153017	131153042	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	208552	-	chr8	84979766	84979791	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	68801	-	chr18	8053592	8053617	+	ENSG00000255528	lncRNA
chr11	109011692	109011713	80749	-	chr3	89678541	89678567	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	144291	-	chr11	69619025	69619051	+	ENSG00000255528	lncRNA
chr11	109011728	109011754	116917	-	chr11	53177930	53177956	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	134152	-	chr2	48209848	48209873	+	ENSG00000255528	lncRNA
chr11	109011735	109011763	117991	-	chr19	34753799	34753825	+	ENSG00000255528	lncRNA
chr11	109012073	109012100	52345	-	chr12	50817109	50817135	-	ENSG00000255528	lncRNA
chr11	109011885	109011913	244697	-	chr18	26514777	26514803	-	ENSG00000255528	lncRNA
chr11	109011887	109011913	56059	-	chr18	6465431	6465456	+	ENSG00000255528	lncRNA
chr11	109011887	109011913	72409	-	chr3	40023582	40023608	-	ENSG00000255528	lncRNA
chr11	109011887	109011913	192433	-	chr17	20661657	20661683	+	ENSG00000255528	lncRNA
chr11	109011887	109011913	226350	-	chr6	132764081	132764106	+	ENSG00000255528	lncRNA
chr11	109011826	109011853	137275	-	chr8	96979864	96979890	+	ENSG00000255528	lncRNA
chr11	109011845	109011872	117395	-	chr2	143994852	143994878	-	ENSG00000255528	lncRNA
chr11	109012074	109012100	36112	-	chr17	32143909	32143935	+	ENSG00000255528	lncRNA
chr11	109012073	109012100	171214	-	chr6	49539670	49539696	+	ENSG00000255528	lncRNA
chr11	109012073	109012100	173391	-	chr8	108089617	108089642	+	ENSG00000255528	lncRNA
chr11	109012073	109012100	203366	-	chr12	27336496	27336522	-	ENSG00000255528	lncRNA
chr11	109011970	109011989	170906	-	chr11	117764460	117764486	-	ENSG00000255528	lncRNA
chr11	109011648	109011674	37807	-	chr14	76301362	76301388	+	ENSG00000255528	lncRNA
chr11	109011692	109011713	53143	-	chr1	171467152	171467178	-	ENSG00000255528	lncRNA
chr11	109012073	109012100	221290	-	chr18	8605053	8605079	+	ENSG00000255528	lncRNA
chr11	109011845	109011872	99452	-	chr14	44442205	44442229	+	ENSG00000255528	lncRNA
chr11	109011845	109011872	25679	-	chr17	10674486	10674513	-	ENSG00000255528	lncRNA
chr11	109011845	109011872	179125	-	chr3	63634266	63634291	-	ENSG00000255528	lncRNA
chr11	109012074	109012100	195018	-	chr2	130996270	130996295	-	ENSG00000255528	lncRNA
chr11	109012073	109012100	162426	-	chr1	13972458	13972484	+	ENSG00000255528	lncRNA
chr11	109012073	109012100	229668	-	chr2	132821253	132821278	-	ENSG00000255528	lncRNA
chr11	109011648	109011674	14333	-	chr19	30682288	30682313	+	ENSG00000255528	lncRNA
chr11	109011845	109011872	190731	-	chr6	115863166	115863192	-	ENSG00000255528	lncRNA
chr11	109012073	109012100	43272	-	chr14	59343472	59343497	+	ENSG00000255528	lncRNA
chr11	109011648	109011674	249215	-	chr4	13949684	13949710	+	ENSG00000255528	lncRNA
chr11	109012073	109012100	53730	-	chr5	49883539	49883565	+	ENSG00000255528	lncRNA
chr11	109011826	109011853	219824	-	chr10	124436543	124436569	-	ENSG00000255528	lncRNA
chr11	109011728	109011748	212211	-	chr6	51910307	51910332	+	ENSG00000255528	lncRNA
chr11	109011826	109011853	225708	-	chr12	8520510	8520536	-	ENSG00000255528	lncRNA
chr11	109011826	109011853	228725	-	chr16	40913189	40913215	-	ENSG00000255528	lncRNA
chr11	109011826	109011853	152485	-	chr8	8932217	8932242	+	ENSG00000255528	lncRNA
chr11	109011899	109011927	157334	-	chr2	115359672	115359698	+	ENSG00000255528	lncRNA
chr11	109011826	109011853	145607	-	chr14	77876618	77876643	+	ENSG00000255528	lncRNA
chr11	109012073	109012100	82105	-	chr6	61476030	61476056	-	ENSG00000255528	lncRNA
chr11	109012073	109012100	103650	-	chr16	51881793	51881818	+	ENSG00000255528	lncRNA
chr11	109011692	109011713	158159	-	chr7	143481524	143481550	+	ENSG00000255528	lncRNA
chr11	109011695	109011715	210821	-	chr8	103951505	103951532	-	ENSG00000255528	lncRNA
chr11	109011878	109011905	36536	-	chr10	64631501	64631526	-	ENSG00000255528	lncRNA
chr11	109011695	109011715	26171	-	chr3	85837693	85837719	-	ENSG00000255528	lncRNA
chr11	109011695	109011715	45037	-	chr10	28450470	28450496	-	ENSG00000255528	lncRNA
chr11	109011696	109011715	155874	-	chr1	91948262	91948288	+	ENSG00000255528	lncRNA
chr11	109011645	109011667	108258	-	chr6	134047910	134047936	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	234857	-	chr18	62934503	62934528	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	1464	-	chr14	29634557	29634583	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	85896	-	chr8	89407466	89407491	-	ENSG00000255528	lncRNA
chr11	109011842	109011869	16236	-	chr6	102744047	102744073	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	110040	-	chr10	32175469	32175495	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	64966	-	chr18	31497273	31497299	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	139165	-	chr19	53269684	53269710	-	ENSG00000255528	lncRNA
chr11	109011842	109011869	90286	-	chr8	29311073	29311099	-	ENSG00000255528	lncRNA
chr11	109011842	109011869	187115	-	chr3	25372882	25372908	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	191311	-	chr5	42080025	42080050	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	101861	-	chr11	3803876	3803902	-	ENSG00000255528	lncRNA
chr11	109011842	109011869	141198	-	chr15	27013405	27013431	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	29518	-	chr7	69552259	69552285	-	ENSG00000255528	lncRNA
chr11	109011842	109011869	153445	-	chr19	54668412	54668438	+	ENSG00000255528	lncRNA
chr11	109011695	109011715	129670	-	chr4	137874596	137874622	-	ENSG00000255528	lncRNA
chr11	109011695	109011715	113923	-	chr11	60330649	60330675	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	7850	-	chrX	76420812	76420838	-	ENSG00000255528	lncRNA
chr11	109011878	109011905	102715	-	chr14	36174364	36174391	+	ENSG00000255528	lncRNA
chr11	109011843	109011870	12484	-	chr3	67576998	67577023	+	ENSG00000255528	lncRNA
chr11	109011843	109011870	78124	-	chr10	47654488	47654514	+	ENSG00000255528	lncRNA
chr11	109011843	109011870	158805	-	chr7	35240551	35240578	-	ENSG00000255528	lncRNA
chr11	109011843	109011870	154938	-	chr13	23465336	23465362	+	ENSG00000255528	lncRNA
chr11	109011843	109011870	43581	-	chr1	29634038	29634064	-	ENSG00000255528	lncRNA
chr11	109011843	109011870	73239	-	chr9	113357518	113357544	+	ENSG00000255528	lncRNA
chr11	109011843	109011870	91030	-	chr9	67383795	67383821	-	ENSG00000255528	lncRNA
chr11	109011843	109011870	165338	-	chr3	9671349	9671375	+	ENSG00000255528	lncRNA
chr11	109011843	109011870	117068	-	chr9	115757345	115757372	+	ENSG00000255528	lncRNA
chr11	109011843	109011870	92074	-	chr2	90793583	90793608	-	ENSG00000255528	lncRNA
chr11	109011843	109011870	5909	-	chr9	86723909	86723934	+	ENSG00000255528	lncRNA
chr11	109011843	109011870	235859	-	chr6	94257132	94257158	+	ENSG00000255528	lncRNA
chr11	109011843	109011870	76700	-	chr6	14164762	14164787	-	ENSG00000255528	lncRNA
chr11	109011843	109011870	218932	-	chr7	43438276	43438301	+	ENSG00000255528	lncRNA
chr11	109011843	109011870	248519	-	chr12	43090255	43090282	-	ENSG00000255528	lncRNA
chr11	109011815	109011841	91962	-	chr2	160665009	160665034	-	ENSG00000255528	lncRNA
chr11	109011972	109011998	69065	-	chr10	76736956	76736982	+	ENSG00000255528	lncRNA
chr11	109011971	109011998	112438	-	chr10	71028225	71028251	-	ENSG00000255528	lncRNA
chr11	109011695	109011715	248391	-	chr8	75261562	75261588	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	127641	-	chr11	68481002	68481028	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	209914	-	chr17	68545292	68545318	+	ENSG00000255528	lncRNA
chr11	109011648	109011675	38098	-	chr17	23570432	23570458	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	180642	-	chr8	114037752	114037778	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	172174	-	chr3	53195580	53195606	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	185347	-	chr13	97190551	97190577	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	195077	-	chr5	84714162	84714187	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	25890	-	chr16	82060250	82060275	-	ENSG00000255528	lncRNA
chr11	109011728	109011754	131092	-	chr5	64504526	64504553	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	83676	-	chr6	47069815	47069841	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	130254	-	chr4	137317428	137317454	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	194063	-	chr7	139812403	139812429	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	113262	-	chr1	191898635	191898661	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	57610	-	chr7	120178194	120178219	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	44599	-	chr8	104736265	104736291	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	211599	-	chr2	91659508	91659533	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	220507	-	chr15	89328751	89328777	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	138598	-	chr4	6580758	6580784	+	ENSG00000255528	lncRNA
chr11	109011888	109011915	206452	-	chr14	88583792	88583818	-	ENSG00000255528	lncRNA
chr11	109011648	109011675	209655	-	chr15	18481222	18481247	+	ENSG00000255528	lncRNA
chr11	109011648	109011675	149056	-	chr2	66795608	66795633	-	ENSG00000255528	lncRNA
chr11	109011648	109011675	247201	-	chr9	65890097	65890123	-	ENSG00000255528	lncRNA
chr11	109011648	109011675	234415	-	chr5	85058485	85058510	-	ENSG00000255528	lncRNA
chr11	109011728	109011755	64132	-	chr12	57120199	57120225	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	118780	-	chr2	71618228	71618253	+	ENSG00000255528	lncRNA
chr11	109011842	109011869	245158	-	chr2	128139466	128139492	+	ENSG00000255528	lncRNA
chr11	109011728	109011755	53370	-	chr12	98545275	98545301	-	ENSG00000255528	lncRNA
